ID;Phrases;Type
327;Bien sûr, on arguera que l'on caricature ici la position de la Commission, dont l'objectif ne serait évidemment pas d'attenter à la liberté d'expression .;4
328;Bruxelles est en droit de défendre les politiques qu'elle conduit.;2
329;On serait davantage enclin à adhérer à cette thèse.;3
330;Les normes européennes sont absurdes et nous étouffent.;3
331;N'avait-elle pas promis que les politiques économiques menées en Europe apporteraient la prospérité et le plein-emploi ?;4
332;Il faut commencer par dire que l'Union européenne n'est pas l'Europe.;2
333;C'est un ensemble de pays qui s'efforcent de s'ajuster les uns aux autres depuis des siècles, souvent en s'opposant durement mais aussi en collaborant.;3
334;Vos enfants sont très bien élevés.;1
335;Quel films est-ce que tu préfères ? ;1
336;Où est-ce que tu travaillais avant d'être avec nous ici ? ;2
337;Cette voiture ressemble à ma voiture. ;0
338;Elle est plus âgée que moi. ;0
339;Est-ce que ton mari est aussi de Boston? ;0
340;Je suis allergique aux fruits de mer. ;1
341;Je ne me sens pas bien.;0
342;As-tu besoin de quelque chose? ;0
343;Je ne me le suis jamais demandé. ;1
344;C'est une question de point de vue. ;1
345;De mes fenêtres, je vois la Seine qui coule, le long de mon jardin, derrière la route, presque chez moi, la grande et large Seine qui va de Rouen au Havre, couverte de bateaux qui passent.;3
346;"J’ai un peu de fièvre depuis quelques jours ; je me sens souffrant, ou plutôt je me sens triste.";3
347;Tout ce qui nous entoure, tout ce que nous voyons sans le regarder, tout ce que nous frôlons sans le connaître, tout ce que nous touchons sans le palper, tout ce que nous rencontrons sans le distinguer, a sur nous, sur nos organes et, par eux, sur nos idées, sur notre cœur lui-même, des effets rapides, surprenants et inexplicables.;5
348;Je viens d’aller consulter un médecin, car je ne pouvais plus dormir.;2
349;Vers dix heures, je monte dans ma chambre.;1
350;Et soudain, je m’éveille, affolé, couvert de sueur.;2
351;Après cette crise, qui se renouvelle toutes les nuits, je dors enfin, avec calme, jusqu’à l’aurore;3
352;Un frisson me saisit soudain, non pas un frisson de froid, mais un étrange frisson d’angoisse.;3
353;La mer était basse, comme la veille au soir, et je regardais se dresser devant moi, à mesure que j’approchais d’elle, la surprenante abbaye.;3
354;Après plusieurs heures de marche, j’atteignis l’énorme bloc de pierre qui porte la petite cité dominée par la grande église.;3
355;Et le moine me conta des histoires, toutes les vieilles histoires de ce lieu, des légendes, toujours des légendes.;3
356;Je me tus devant ce simple raisonnement. ;2
357;Je le contemplais avec des yeux fixes, cherchant à deviner.;2
358;Je viens de faire des épreuves surprenantes.;2
359;Le 8 juillet, j’ai supprimé l’eau et le lait.;1
360;L’invincible sommeil m’a saisi, suivi bientôt de l’atroce réveil.;3
361;Oui, je suis à Paris depuis vingt jours à peine.;0
362;J’entre aux gardes demain, dans les Cadets;3
363;Tout le bel air !;2
364;Tiens, monsieur de Corneille est arrivé de Rouen.;0
365;La dame ne vient pas.;0
366;Je retourne à mon vice !;1
367;Je ne suis qu’un bon soldat timide.;2
368;Monsieur avez-vous vu monsieur de Cyrano ?;0
369;Taisez-vous, Mécène que vous êtes !;1
370;Vous payez en gâteaux vos billets de théâtre !;1
371;Votre place, aujourd’hui, là, voyons, entre nous, vous a coûté combien ?;1
372;Monsieur de Cyrano n’est pas là ?;0
373;En effet, cette tonne va nous jouer ce soir le rôle de Phédon.;2
374;Il fit à Montfleury, messieurs, qu’il prit en haine, défense, pour un mois, de reparaître en scène.;3
375;Quel est cet animal ?;0
376;Montrant un gentilhomme qui va et vient dans la salle comme s’il cherchait quelqu’un.;2
377;N’est-ce pas que cet homme est des moins ordinaires ?;3
378;Et quel aspect hétéroclite que le sien !;3
379;Je veux espérer qu’il n’a pas vu l’affiche !;1
380;Quelle couleur, comte de Guiche ?;0
381;La chose me vient d’être certifiée.;2
382;Une plantation de bois sur vos épaules ?;1
383;Que les marquis se taisent sur leurs bancs, ou bien je fais tâter ma canne à leurs rubans !;4
384;Que Montfleury s’en aille, ou bien je l’essorille et le désentripaille !;4
385;Découpez-moi cette mortadelle d’Italie !;2
386;"Si vous continuez, il va rendre sa lame !";3
387;Voulez-vous me prêter, Monsieur, votre chapeau ?;2
388;C’est scandaleux !;0
389;Je vous ordonne de vous taire !;1
390;Et j’adresse un défi collectif au parterre !;3
391;J’inscris les noms !;0
392;"Approchez-vous, jeunes héros !";1
393;En rang par deux, et chacun son tour prenez un biscuit !;1
394;Je vais donner des numéros !;0
395;Allons, qui est celui qui veut ouvrir la liste ?;2
396;Le premier duelliste, je l’expédie avec les honneurs qu’on lui doit !;3
397;Que tous ceux qui veulent mourir lèvent le doigt.;2
398;La pudeur vous défend de voir ma lame nue ?;3
399;Se retournant vers la scène où Montfleury attend avec angoisse.;2
400;Donc, je désire voir le théâtre guéri de cette fluxion.;3
